Name;Energy100g;Sugar100g;Fat100g;Carb100g;Weight_gram
LambAustralianimportedfreshlegtrotteroffboneinseparableleanonlytrimmedto18fatraw;131.0;0.0;4.33;0.0;113.0
LambAustralianimportedfreshlegwholeshankandsirloinseparableleanandfattrimmedto18fatcookedroasted;244.0;0.0;15.13;0.0;85.0
LambAustralianimportedfreshlegwholeshankandsirloinseparableleanandfattrimmedto18fatraw;215.0;0.0;15.19;0.0;28.35
LambAustralianimportedfreshlegwholeshankandsirloinseparableleanonlytrimmedto18fatcookedroasted;190.0;0.0;8.1;0.0;85.0
LambAustralianimportedfreshlegwholeshankandsirloinseparableleanonlytrimmedto18fatraw;135.0;0.0;5.23;0.0;28.35
LambAustralianimportedfreshloinseparableleanandfattrimmedto18fatcookedbroiled;219.0;0.0;12.25;0.0;85.0
LambAustralianimportedfreshloinseparableleanandfattrimmedto18fatraw;203.0;0.0;13.38;0.0;28.35
LambAustralianimportedfreshloinseparableleanonlytrimmedto18fatcookedbroiled;192.0;0.0;8.75;0.0;85.0
LambAustralianimportedfreshloinseparableleanonlytrimmedto18fatraw;146.0;0.0;6.24;0.0;28.35
LambAustralianimportedfreshrackroastfrenchedboneinseparableleanandfattrimmedto18fatcookedroasted;291.0;0.0;20.77;0.0;85.0
LambAustralianimportedfreshrackroastfrenchedboneinseparableleanonlytrimmedto18fatcookedroasted;244.0;0.0;14.64;0.0;85.0
LambAustralianimportedfreshrackroastfrencheddenudedboneinseparableleanandfattrimmedto0fatcookedroasted;193.0;0.0;9.91;0.0;85.0
LambAustralianimportedfreshrackroastfrencheddenudedboneinseparableleanonlytrimmedto0fatcookedroasted;175.0;0.0;7.63;0.0;85.0
LambAustralianimportedfreshribchopfrenchedboneinseparableleanandfattrimmedto18fatcookedgrilled;305.0;0.0;21.2;0.0;85.0
LambAustralianimportedfreshribchopfrenchedboneinseparableleanonlytrimmedto18fatcookedgrilled;234.0;0.0;11.68;0.0;85.0
LambAustralianimportedfreshribchopfrencheddenudedboneinseparableleanandfattrimmedto0fatcookedgrilled;276.0;0.0;16.96;0.0;85.0
LambAustralianimportedfreshribchopfrencheddenudedboneinseparableleanonlytrimmedto0fatcookedgrilled;236.0;0.0;11.5;0.0;85.0
LambAustralianimportedfreshribchoprackroastfrenchedboneinseparableleanandfattrimmedto18fatraw;237.0;0.0;16.89;0.0;113.0
LambAustralianimportedfreshribchoprackroastfrenchedboneinseparableleanonlytrimmedto18fatraw;147.0;0.0;5.59;0.0;113.0
LambAustralianimportedfreshseamfatraw;459.0;0.0;44.01;0.0;113.0
LambAustralianimportedfreshseparablefatcooked;639.0;0.0;66.4;0.0;85.0
LambAustralianimportedfreshseparablefatraw;648.0;0.0;68.87;0.0;28.35
LambAustralianimportedfreshshoulderbladeseparableleanonlytrimmedto18fatcookedbroiled;231.0;0.0;14.38;0.0;85.0
LambAustralianimportedfreshshoulderarmseparableleanandfattrimmedto18fatcookedbraised;311.0;0.0;20.38;0.0;85.0
LambAustralianimportedfreshshoulderarmseparableleanandfattrimmedto18fatraw;243.0;0.0;18.89;0.0;28.35
LambAustralianimportedfreshshoulderarmseparableleanonlytrimmedto18fatcookedbraised;238.0;0.0;10.23;0.0;85.0
LambAustralianimportedfreshshoulderarmseparableleanonlytrimmedto18fatraw;137.0;0.0;5.81;0.0;28.35
LambAustralianimportedfreshshoulderbladeseparableleanandfattrimmedto18fatcookedbroiled;291.0;0.0;22.03;0.0;85.0
LambAustralianimportedfreshshoulderbladeseparableleanandfattrimmedto18fatraw;262.0;0.0;21.28;0.0;28.35
LambAustralianimportedfreshshoulderbladeseparableleanonlytrimmedto18fatraw;164.0;0.0;9.09;0.0;28.35
LambAustralianimportedfreshshoulderwholearmandbladeseparableleanandfattrimmedto18fatcooked;296.0;0.0;21.65;0.0;85.0
LambAustralianimportedfreshshoulderwholearmandbladeseparableleanandfattrimmedto18fatraw;256.0;0.0;20.47;0.0;28.35
LambAustralianimportedfreshshoulderwholearmandbladeseparableleanonlytrimmedto18fatraw;155.0;0.0;8.01;0.0;28.35
LambAustralianimportedfreshshoulderwholearmandbladeseparableleanonlytrimmedto18fatcooked;233.0;0.0;13.44;0.0;85.0
LambAustralianimportedfreshtenderloinbonelessseparableleanandfattrimmedto18fatcookedroasted;187.0;0.0;7.02;0.0;85.0
LambAustralianimportedfreshtenderloinbonelessseparableleanandfattrimmedto18fatraw;143.0;0.0;5.52;0.0;113.0
LambAustralianimportedfreshtenderloinbonelessseparableleanonlytrimmedto18fatcookedroasted;184.0;0.0;6.71;0.0;85.0
LambAustralianimportedfreshtenderloinbonelessseparableleanonlytrimmedto18fatraw;136.0;0.0;4.73;0.0;113.0
Lambcompositeoftrimmedretailcutsseparablefattrimmedto14fatchoicecooked;586.0;0.0;59.18;0.0;85.0
Lambcompositeoftrimmedretailcutsseparablefattrimmedto14fatchoiceraw;665.0;0.0;70.61;0.0;28.35
Lambcompositeoftrimmedretailcutsseparableleanandfattrimmedto14fatchoicecooked;294.0;0.0;20.94;0.0;85.0
Lambcompositeoftrimmedretailcutsseparableleanandfattrimmedto14fatchoiceraw;267.0;0.0;21.59;0.0;28.35
Lambcompositeoftrimmedretailcutsseparableleanandfattrimmedto18fatchoicecooked;271.0;0.0;18.01;0.0;85.0
Lambcompositeoftrimmedretailcutsseparableleanandfattrimmedto18fatchoiceraw;243.0;0.0;18.66;0.0;28.35
Lambcompositeoftrimmedretailcutsseparableleanonlytrimmedto14fatchoicecooked;206.0;0.0;9.52;0.0;85.0
Lambcompositeoftrimmedretailcutsseparableleanonlytrimmedto14fatchoiceraw;134.0;0.0;5.25;0.0;28.35
Lambcubedforsteworkaboblegandshoulderseparableleanonlytrimmedto14fatcookedbraised;223.0;0.0;8.8;0.0;85.0
Lambcubedforsteworkaboblegandshoulderseparableleanonlytrimmedto14fatcookedbroiled;186.0;0.0;7.33;0.0;85.0
Lambcubedforsteworkaboblegandshoulderseparableleanonlytrimmedto14fatraw;134.0;0.0;5.28;0.0;28.35
Lambforeshankseparableleanandfattrimmedto14fatchoicecookedbraised;243.0;0.0;13.46;0.0;148.0
Lambforeshankseparableleanandfattrimmedto14fatchoiceraw;201.0;0.0;13.38;0.0;28.35
Lambforeshankseparableleanandfattrimmedto18fatchoiceraw;201.0;0.0;13.38;0.0;28.35
Lambforeshankseparableleanandfattrimmedto18fatcookedbraised;243.0;0.0;13.46;0.0;148.0
Lambforeshankseparableleanonlytrimmedto14fatchoicecookedbraised;187.0;0.0;6.02;0.0;128.0
Lambforeshankseparableleanonlytrimmedto14fatchoiceraw;120.0;0.0;3.29;0.0;28.35
Lambgroundcookedbroiled;283.0;0.0;19.65;0.0;85.0
Lambgroundraw;282.0;0.0;23.41;0.0;28.35
Lamblegshankhalfseparableleanandfattrimmedto14fatchoicecookedroasted;225.0;0.0;12.45;0.0;85.0
Lamblegshankhalfseparableleanandfattrimmedto14fatchoiceraw;201.0;0.0;13.49;0.0;28.35
Lamblegshankhalfseparableleanandfattrimmedto18fatchoicecookedroasted;217.0;0.0;11.4;0.0;85.0
Lamblegshankhalfseparableleanandfattrimmedto18fatchoiceraw;185.0;0.0;11.5;0.0;28.35
Lamblegshankhalfseparableleanonlytrimmedto14fatchoicecookedroasted;180.0;0.0;6.67;0.0;85.0
Lamblegshankhalfseparableleanonlytrimmedto14fatchoiceraw;125.0;0.0;4.19;0.0;28.35
Lamblegsirloinhalfseparableleanandfattrimmedto14fatchoicecookedroasted;292.0;0.0;20.67;0.0;85.0
Lamblegsirloinhalfseparableleanandfattrimmedto14fatchoiceraw;272.0;0.0;22.11;0.0;28.35
Lamblegsirloinhalfseparableleanandfattrimmedto18fatchoicecookedroasted;284.0;0.0;19.67;0.0;85.0
Lamblegsirloinhalfseparableleanandfattrimmedto18fatchoiceraw;261.0;0.0;20.8;0.0;28.35
Lamblegsirloinhalfseparableleanonlytrimmedto14fatchoicecookedroasted;204.0;0.0;9.17;0.0;85.0
Lamblegsirloinhalfseparableleanonlytrimmedto14fatchoiceraw;134.0;0.0;5.08;0.0;28.35
Lamblegwholeshankandsirloinseparableleanandfattrimmedto14fatchoicecookedroasted;258.0;0.0;16.48;0.0;85.0
Lamblegwholeshankandsirloinseparableleanandfattrimmedto14fatchoiceraw;230.0;0.0;17.07;0.0;28.35
Lamblegwholeshankandsirloinseparableleanandfattrimmedto18fatchoicecookedroasted;242.0;0.0;14.42;0.0;85.0
Lamblegwholeshankandsirloinseparableleanandfattrimmedto18fatchoiceraw;209.0;0.0;14.42;0.0;28.35
Lamblegwholeshankandsirloinseparableleanonlytrimmedto14fatchoicecookedroasted;191.0;0.0;7.74;0.0;85.0
Lamblegwholeshankandsirloinseparableleanonlytrimmedto14fatchoiceraw;128.0;0.0;4.51;0.0;28.35
Lambloinseparableleanandfattrimmedto14fatchoicecookedbroiled;316.0;0.0;23.08;0.0;85.0
Lambloinseparableleanandfattrimmedto14fatchoicecookedroasted;309.0;0.0;23.59;0.0;85.0
Lambloinseparableleanandfattrimmedto14fatchoiceraw;310.0;0.0;26.63;0.0;28.35
Lambloinseparableleanandfattrimmedto18fatchoicecookedbroiled;297.0;0.0;20.61;0.0;85.0
Lambloinseparableleanandfattrimmedto18fatchoicecookedroasted;290.0;0.0;21.12;0.0;85.0
Lambloinseparableleanandfattrimmedto18fatchoiceraw;279.0;0.0;22.75;0.0;28.35
Lambloinseparableleanonlytrimmedto14fatchoicecookedbroiled;216.0;0.0;9.73;0.0;85.0
Lambloinseparableleanonlytrimmedto14fatchoicecookedroasted;202.0;0.0;9.76;0.0;85.0
Lambloinseparableleanonlytrimmedto14fatchoiceraw;143.0;0.0;5.94;0.0;28.35
LambNewZealandimportedbrainscookedsoakedandfried;154.0;0.0;10.92;0.0;85.0
LambNewZealandimportedbrainsraw;118.0;0.0;8.03;0.0;113.0
LambNewZealandimportedbreastseparableleanonlycookedbraised;270.0;0.0;17.53;0.0;85.0
LambNewZealandimportedbreastseparableleanonlyraw;149.0;0.0;7.98;1.02;113.0
LambNewZealandimportedchumpbonelessseparableleanonlycookedfastroasted;142.0;0.0;5.27;0.0;85.0
LambNewZealandimportedchumpbonelessseparableleanonlyraw;121.0;0.0;3.83;0.0;113.0
LambNewZealandimportedflapbonelessseparableleanandfatcookedbraised;376.0;0.0;32.63;0.14;85.0
LambNewZealandimportedflapbonelessseparableleanandfatraw;337.0;0.0;30.14;0.27;113.0
LambNewZealandimportedflapbonelessseparableleanonlycookedbraised;234.0;0.0;13.6;0.0;85.0
LambNewZealandimportedflapbonelessseparableleanonlyraw;180.0;0.0;10.31;0.0;113.0
LambNewZealandimportedforeshankseparableleanandfatcookedbraised;256.0;0.0;14.99;0.03;85.0
LambNewZealandimportedforeshankseparableleanandfatraw;183.0;0.0;11.38;0.09;113.0
LambNewZealandimportedforeshankseparableleanonlycookedbraised;209.0;0.0;8.4;0.0;85.0
LambNewZealandimportedforeshankseparableleanonlyraw;122.0;0.0;3.77;0.0;113.0
LambNewZealandimportedfrozencompositeoftrimmedretailcutsseparablefatcooked;586.0;0.0;60.39;0.0;85.0
LambNewZealandimportedfrozencompositeoftrimmedretailcutsseparablefatraw;640.0;0.0;67.63;0.0;28.35
LambNewZealandimportedfrozencompositeoftrimmedretailcutsseparableleanandfatcooked;305.0;0.0;22.26;0.0;85.0
LambNewZealandimportedfrozencompositeoftrimmedretailcutsseparableleanandfatraw;277.0;0.0;22.74;0.0;28.35
LambNewZealandimportedfrozencompositeoftrimmedretailcutsseparableleanandfattrimmedto18fatcooked;270.0;0.0;17.98;0.0;85.0
LambNewZealandimportedfrozencompositeoftrimmedretailcutsseparableleanandfattrimmedto18fatraw;232.0;0.0;17.2;0.0;28.35
LambNewZealandimportedfrozencompositeoftrimmedretailcutsseparableleanonlycooked;206.0;0.0;8.86;0.0;85.0
LambNewZealandimportedfrozencompositeoftrimmedretailcutsseparableleanonlyraw;128.0;0.0;4.41;0.0;28.35
LambNewZealandimportedfrozenforeshankseparableleanandfattrimmedto18fatcookedbraised;258.0;0.0;15.83;0.0;85.0
LambNewZealandimportedfrozenforeshankseparableleanandfattrimmedto18fatraw;223.0;0.0;16.15;0.0;28.35
LambNewZealandimportedfrozenlegwholeshankandsirloinseparableleanandfatcookedroasted;246.0;0.0;15.56;0.0;85.0
LambNewZealandimportedfrozenlegwholeshankandsirloinseparableleanandfattrimmedto18fatcookedroasted;234.0;0.0;13.95;0.0;85.0
LambNewZealandimportedfrozenlegwholeshankandsirloinseparableleanandfattrimmedto18fatraw;201.0;0.0;13.37;0.0;28.35
LambNewZealandimportedfrozenlegwholeshankandsirloinseparableleanonlycookedroasted;181.0;0.0;7.01;0.0;85.0
LambNewZealandimportedfrozenloinseparableleanandfatcookedbroiled;315.0;0.0;23.88;0.0;85.0
LambNewZealandimportedfrozenloinseparableleanandfattrimmedto18fatcookedbroiled;296.0;0.0;21.28;0.0;85.0
LambNewZealandimportedfrozenloinseparableleanandfattrimmedto18fatraw;273.0;0.0;22.1;0.0;28.35
LambNewZealandimportedfrozenloinseparableleanonlycookedbroiled;199.0;0.0;8.24;0.0;85.0
LambNewZealandimportedfrozenribseparableleanandfattrimmedto18fatcookedroasted;317.0;0.0;25.74;0.0;85.0
Lambnewzealandimportedfrozenribseparableleanandfattrimmedto18fatraw;311.0;0.0;27.0;0.0;28.35
LambNewZealandimportedfrozenshoulderwholearmandbladeseparableleanandfatcookedbraised;357.0;0.0;26.27;0.0;85.0
LambNewZealandimportedfrozenshoulderwholearmandbladeseparableleanandfattrimmedto18fatcookedbraised;342.0;0.0;24.03;0.0;85.0
LambNewZealandimportedfrozenshoulderwholearmandbladeseparableleanandfattrimmedto18fatraw;251.0;0.0;19.74;0.0;28.35
LambNewZealandimportedfrozenshoulderwholearmandbladeseparableleanonlycookedbraised;285.0;0.0;15.5;0.0;85.0
LambNewZealandimportedgroundlambcookedbraised;192.0;0.0;11.34;0.0;85.0
LambNewZealandimportedgroundlambraw;193.0;0.0;12.41;0.0;113.0
LambNewZealandimportedheartcookedsoakedandsimmered;161.0;0.0;6.21;0.0;85.0
LambNewZealandimportedheartraw;105.0;0.0;3.68;0.0;113.0
LambNewZealandimportedhindshankseparableleanandfatcookedbraised;247.0;0.0;14.22;0.04;85.0
LambNewZealandimportedhindshankseparableleanandfatraw;186.0;0.0;12.12;0.73;113.0
LambNewZealandimportedhindshankseparableleanonlycookedbraised;196.0;0.0;7.37;0.0;85.0
LambNewZealandimportedhindshankseparableleanonlyraw;115.0;0.0;3.35;0.73;113.0
LambNewZealandimportedIntermuscularfatcooked;596.0;0.0;62.44;0.0;85.0
LambNewZealandimportedkidneycookedsoakedandfried;112.0;0.0;3.56;0.18;85.0
LambNewZealandimportedkidneyraw;84.0;0.0;2.54;0.03;113.0
LambNewZealandimportedlegchopsteakboneinseparableleanandfatcookedfastfried;212.0;0.0;12.76;0.04;85.0
LambNewZealandimportedlegchopsteakboneinseparableleanandfatraw;206.0;0.0;14.52;0.13;113.0
LambNewZealandimportedlegchopsteakboneinseparableleanonlycookedfastfried;162.0;0.0;6.35;0.0;85.0
LambNewZealandimportedlegchopsteakboneinseparableleanonlyraw;126.0;0.0;4.64;0.0;113.0
LambNewZealandimportedlivercookedsoakedandfried;168.0;0.0;6.56;1.48;85.0
LambNewZealandimportedliverraw;136.0;0.0;4.92;2.22;113.0
LambNewZealandimportedloinchopseparableleanandfatcookedfastfried;332.0;0.0;27.11;0.41;85.0
LambNewZealandimportedloinchopseparableleanandfatraw;298.0;0.0;26.19;0.22;113.0
LambNewZealandimportedloinchopseparableleanonlycookedfastfried;208.0;0.0;10.7;0.41;85.0
LambNewZealandimportedloinchopseparableleanonlyraw;142.0;0.0;6.88;0.0;113.0
LambNewZealandimportedloinsaddleseparableleanandfatcookedfastroasted;274.0;0.0;20.98;0.1;85.0
LambNewZealandimportedloinsaddleseparableleanandfatraw;273.0;0.0;22.9;0.2;113.0
LambNewZealandimportedloinsaddleseparableleanonlycookedfastroasted;162.0;0.0;6.7;0.0;85.0
LambNewZealandimportedloinsaddleseparableleanonlyraw;131.0;0.0;5.32;0.0;113.0
LambNewZealandimportedloinbonelessseparableleanandfatcookedfastroasted;157.0;0.0;4.57;0.0;85.0
LambNewZealandimportedloinbonelessseparableleanandfatraw;122.0;0.0;3.99;0.0;113.0
LambNewZealandimportedloinbonelessseparableleanonlycookedfastroasted;156.0;0.0;4.49;0.0;85.0
LambNewZealandimportedloinbonelessseparableleanonlyraw;120.0;0.0;3.77;0.0;113.0
LambNewZealandimportedneckchopsseparableleanandfatcookedbraised;307.0;0.0;21.43;0.03;85.0
LambNewZealandimportedneckchopsseparableleanandfatraw;231.0;0.0;17.9;0.14;113.0
LambNewZealandimportedneckchopsseparableleanonlycookedbraised;264.0;0.0;15.36;0.0;85.0
LambNewZealandimportedneckchopsseparableleanonlyraw;151.0;0.0;7.97;0.0;113.0
LambNewZealandimportednettedshoulderrolledbonelessseparableleanandfatcookedslowroasted;287.0;0.0;22.33;0.05;85.0
LambNewZealandimportednettedshoulderrolledbonelessseparableleanandfatraw;252.0;0.0;20.36;0.2;113.0
LambNewZealandimportednettedshoulderrolledbonelessseparableleanonlycookedslowroasted;199.0;0.0;10.91;0.0;85.0
LambNewZealandimportednettedshoulderrolledbonelessseparableleanonlyraw;143.0;0.0;6.88;0.0;113.0
LambNewZealandimportedrackfullyfrenchedseparableleanandfatcookedfastroasted;195.0;0.0;11.2;0.01;85.0
LambNewZealandimportedrackfullyfrenchedseparableleanandfatraw;169.0;0.0;9.96;0.05;113.0
LambNewZealandimportedrackfullyfrenchedseparableleanonlycookedfastroasted;173.0;0.0;8.38;0.0;85.0
LambNewZealandimportedrackfullyfrenchedseparableleanonlyraw;147.0;0.0;7.12;0.0;113.0
LambNewZealandimportedrackpartlyfrenchedseparableleanandfatcookedfastroasted;253.0;0.0;18.29;0.04;85.0
LambNewZealandimportedrackpartlyfrenchedseparableleanandfatraw;240.0;0.0;18.52;0.13;113.0
LambNewZealandimportedrackpartlyfrenchedseparableleanonlycookedfastroasted;193.0;0.0;10.63;0.0;85.0
LambNewZealandimportedrackpartlyfrenchedseparableleanonlyraw;160.0;0.0;8.61;0.0;113.0
LambNewZealandimportedsquarecutshoulderchopsseparableleanandfatcookedbraised;322.0;0.0;23.86;0.05;85.0
LambNewZealandimportedsquarecutshoulderchopsseparableleanandfatraw;275.0;0.0;22.84;0.23;113.0
LambNewZealandimportedsquarecutshoulderchopsseparableleanonlycookedbraised;255.0;0.0;14.56;0.0;85.0
LambNewZealandimportedsquarecutshoulderchopsseparableleanonlyraw;164.0;0.0;9.08;0.0;113.0
LambNewZealandimportedsquarecutshoulderseparableleanandfatcookedslowroasted;294.0;0.0;23.39;0.03;85.0
LambNewZealandimportedsquarecutshoulderseparableleanandfatraw;272.0;0.0;22.89;0.24;113.0
LambNewZealandimportedsquarecutshoulderseparableleanonlycookedslowroasted;192.0;0.0;10.13;0.0;85.0
LambNewZealandimportedsquarecutshoulderseparableleanonlyraw;154.0;0.0;8.3;0.0;113.0
LambNewZealandimportedsubcutaneousfatcooked;674.0;0.0;72.28;0.62;85.0
LambNewZealandimportedsweetbreadcookedsoakedandsimmered;144.0;0.0;6.61;0.0;85.0
LambNewZealandimportedsweetbreadraw;72.0;0.0;3.16;0.0;113.0
LambNewZealandimportedtenderloinseparableleanandfatcookedfastfried;157.0;0.0;5.0;0.0;85.0
LambNewZealandimportedtenderloinseparableleanandfatraw;120.0;0.0;4.22;0.01;113.0
LambNewZealandimportedtenderloinseparableleanonlycookedfastfried;155.0;0.0;4.81;0.0;85.0
LambNewZealandimportedtenderloinseparableleanonlyraw;116.0;0.0;3.81;0.0;113.0
LambNewZealandimportedtestescookedsoakedandfried;125.0;0.0;4.56;0.0;85.0
LambNewZealandimportedtestesraw;68.0;0.0;2.38;0.14;113.0
LambNewZealandimportedtongueswisscutcookedsoakedandsimmered;272.0;0.0;22.04;0.86;85.0
LambNewZealandimportedtongueswisscutraw;225.0;0.0;18.61;0.0;113.0
LambNewZealandimportedtunnelbonedlegchumpoffshankoffseparableleanandfatcookedslowroasted;208.0;0.0;12.68;0.03;85.0
LambNewZealandimportedtunnelbonedlegchumpoffshankoffseparableleanandfatraw;121.0;0.0;4.09;0.0;113.0
LambNewZealandimportedtunnelbonedlegchumpoffshankoffseparableleanonlycookedslowroasted;159.0;0.0;6.44;0.0;85.0
LambNewZealandimportedtunnelbonedlegchumpoffshankoffseparableleanonlyraw;121.0;0.0;4.09;0.0;113.0
Lambribseparableleanandfattrimmedto14fatchoicecookedbroiled;361.0;0.0;29.59;0.0;85.0
Lambribseparableleanandfattrimmedto14fatchoicecookedroasted;359.0;0.0;29.82;0.0;85.0
Lambribseparableleanandfattrimmedto14fatchoiceraw;372.0;0.0;34.39;0.0;28.35
Lambribseparableleanandfattrimmedto18fatchoicecookedbroiled;340.0;0.0;26.82;0.0;85.0
Lambribseparableleanandfattrimmedto18fatchoicecookedroasted;341.0;0.0;27.53;0.0;85.0
Lambribseparableleanandfattrimmedto18fatchoiceraw;342.0;0.0;30.71;0.0;28.35
Lambribseparableleanonlytrimmedto14fatchoicecookedbroiled;235.0;0.0;12.95;0.0;147.0
Lambribseparableleanonlytrimmedto14fatchoicecookedroasted;232.0;0.0;13.31;0.0;85.0
Lambribseparableleanonlytrimmedto14fatchoiceraw;169.0;0.0;9.23;0.0;28.35
Lambshoulderarmseparableleanandfattrimmedto14fatchoicecookedbraised;346.0;0.0;24.0;0.0;85.0
Lambshoulderarmseparableleanandfattrimmedto14fatchoicecookedbroiled;281.0;0.0;19.55;0.0;85.0
Lambshoulderarmseparableleanandfattrimmedto14fatchoicecookedroasted;279.0;0.0;20.24;0.0;85.0
Lambshoulderarmseparableleanandfattrimmedto14fatchoiceraw;260.0;0.0;20.9;0.0;28.35
Lambshoulderarmseparableleanandfattrimmedto18fatchoicecookedbraised;337.0;0.0;22.65;0.0;85.0
Lambshoulderarmseparableleanandfattrimmedto18fatchoiceraw;244.0;0.0;18.94;0.0;28.35
Lambshoulderarmseparableleanandfattrimmedto18fatchoiceroasted;267.0;0.0;18.75;0.0;85.0
Lambshoulderarmseparableleanandfattrimmedto18fatcookedbroiled;269.0;0.0;18.05;0.0;85.0
Lambshoulderarmseparableleanonlytrimmedto14fatchoicecookedbraised;279.0;0.0;14.08;0.0;85.0
Lambshoulderarmseparableleanonlytrimmedto14fatchoicecookedbroiled;200.0;0.0;9.02;0.0;85.0
Lambshoulderarmseparableleanonlytrimmedto14fatchoicecookedroasted;192.0;0.0;9.26;0.0;85.0
Lambshoulderarmseparableleanonlytrimmedto14fatchoiceraw;132.0;0.0;5.2;0.0;28.35
Lambshoulderbladeseparableleanandfattrimmedto14fatchoicecookedbraised;345.0;0.0;24.73;0.0;85.0
Lambshoulderbladeseparableleanandfattrimmedto14fatchoicecookedbroiled;278.0;0.0;19.94;0.0;85.0
Lambshoulderbladeseparableleanandfattrimmedto14fatchoicecookedroasted;281.0;0.0;20.61;0.0;85.0
Lambshoulderbladeseparableleanandfattrimmedto14fatchoiceraw;259.0;0.0;20.86;0.0;28.35
Lambshoulderbladeseparableleanandfattrimmedto18fatchoicecookedbraised;339.0;0.0;23.88;0.0;85.0
Lambshoulderbladeseparableleanandfattrimmedto18fatchoicecookedbroiled;267.0;0.0;18.5;0.0;85.0
Lambshoulderbladeseparableleanandfattrimmedto18fatchoicecookedroasted;270.0;0.0;19.19;0.0;85.0
Lambshoulderbladeseparableleanandfattrimmedto18fatchoiceraw;244.0;0.0;18.97;0.0;28.35
Lambshoulderbladeseparableleanonlytrimmedto14fatchoicecookedbraised;288.0;0.0;16.64;0.0;85.0
Lambshoulderbladeseparableleanonlytrimmedto14fatchoicecookedbroiled;211.0;0.0;11.32;0.0;85.0
Lambshoulderbladeseparableleanonlytrimmedto14fatchoicecookedroasted;209.0;0.0;11.57;0.0;85.0
Lambshoulderbladeseparableleanonlytrimmedto14fatchoiceraw;151.0;0.0;7.63;0.0;28.35
Lambshoulderwholearmandbladeseparableleanandfattrimmedto14fatchoicecookedbraised;344.0;0.0;24.55;0.0;85.0
Lambshoulderwholearmandbladeseparableleanandfattrimmedto14fatchoicecookedbroiled;278.0;0.0;19.26;0.0;85.0
Lambshoulderwholearmandbladeseparableleanandfattrimmedto14fatchoicecookedroasted;276.0;0.0;19.97;0.0;85.0
Lambshoulderwholearmandbladeseparableleanandfattrimmedto14fatchoiceraw;264.0;0.0;21.45;0.0;113.0
Lambshoulderwholearmandbladeseparableleanandfattrimmedto18fatchoicecookedbraised;338.0;0.0;23.57;0.0;85.0
Lambshoulderwholearmandbladeseparableleanandfattrimmedto18fatchoicecookedbroiled;268.0;0.0;18.39;0.0;85.0
Lambshoulderwholearmandbladeseparableleanandfattrimmedto18fatchoicecookedroasted;269.0;0.0;19.08;0.0;85.0
Lambshoulderwholearmandbladeseparableleanandfattrimmedto18fatchoiceraw;244.0;0.0;18.96;0.0;28.35
Lambshoulderwholearmandbladeseparableleanonlytrimmedto14fatchoicecookedbraised;283.0;0.0;15.89;0.0;85.0
Lambshoulderwholearmandbladeseparableleanonlytrimmedto14fatchoicecookedbroiled;210.0;0.0;10.5;0.0;85.0
Lambshoulderwholearmandbladeseparableleanonlytrimmedto14fatchoicecookedroasted;204.0;0.0;10.77;0.0;85.0
Lambshoulderwholearmandbladeseparableleanonlytrimmedto14fatchoiceraw;144.0;0.0;6.76;0.0;113.0
Lambvarietymeatsandbyproductsbraincookedbraised;145.0;0.0;10.17;0.0;85.0
Lambvarietymeatsandbyproductsbraincookedpanfried;273.0;0.0;22.19;0.0;85.0
Lambvarietymeatsandbyproductsbrainraw;122.0;0.0;8.58;0.0;28.35
Lambvarietymeatsandbyproductsheartcookedbraised;185.0;0.0;7.91;1.93;85.0
Lambvarietymeatsandbyproductsheartraw;122.0;0.0;5.68;0.21;28.35
Lambvarietymeatsandbyproductskidneyscookedbraised;137.0;0.0;3.62;0.99;85.0
Lambvarietymeatsandbyproductskidneysraw;97.0;0.0;2.95;0.82;28.35
Lambvarietymeatsandbyproductslivercookedbraised;220.0;0.0;8.81;2.53;85.0
Lambvarietymeatsandbyproductslivercookedpanfried;238.0;0.0;12.65;3.78;85.0
Lambvarietymeatsandbyproductsliverraw;139.0;0.0;5.02;1.78;28.35
Lambvarietymeatsandbyproductslungscookedbraised;113.0;0.0;3.1;0.0;85.0
Lambvarietymeatsandbyproductslungsraw;95.0;0.0;2.6;0.0;28.35
Lambvarietymeatsandbyproductsmechanicallyseparatedraw;276.0;0.0;23.54;0.0;28.35
Lambvarietymeatsandbyproductspancreascookedbraised;234.0;0.0;15.12;0.0;85.0
Lambvarietymeatsandbyproductspancreasraw;152.0;0.0;9.82;0.0;28.35
Lambvarietymeatsandbyproductsspleencookedbraised;156.0;0.0;4.77;0.0;85.0
Lambvarietymeatsandbyproductsspleenraw;101.0;0.0;3.1;0.0;28.35
Lambvarietymeatsandbyproductstonguecookedbraised;275.0;0.0;20.28;0.0;85.0
Lambvarietymeatsandbyproductstongueraw;222.0;0.0;17.17;0.0;28.35
Lambsquarterscookedboileddrainedwithsalt;32.0;0.62;0.7;5.0;180.0
Lambsquarterscookedboileddrainedwithoutsalt;32.0;0.62;0.7;5.0;180.0
LambsquartersrawNorthernPlainsIndians;47.0;0.62;0.28;6.96;0.9
LambsquarterssteamedNorthernPlainsIndians;48.0;0.62;0.16;7.47;65.0
Lard;902.0;0.62;100.0;0.0;12.8
Lasagnawithmeatampsaucefrozenentree;124.0;2.96;4.42;14.39;134.0
Lasagnawithmeatampsaucelowfatfrozenentree;101.0;2.96;2.23;13.5;309.0
Lasagnawithmeatsaucefrozenprepared;135.0;3.11;4.92;15.36;123.0
